Country,Code,Codenumber,Gain Access-Model,GainAccessActual,ER,Pop2012,Electrified2012,Pop2030,Urban2014,Rural2014
Angola,AGO,24,30965510,30957586,0.37,22685632,8393684,39351270,43.3,56.7
Benin,BEN,204,11735615,11733920,0.384,10049792,3859120,15593040,43.5,56.5
Botswana,BWA,72,1686818,1681416,0.532,2132822,1135514,2816930,57.2,42.8
Burkina Faso,BFA,854,23667318,25071083,0.131,16590813,2173397,27244480,29,71
Burundi,BDI,108,16179864,16698973,0.065,10124572,658097,17357070,11.8,88.2
Cameroon,CMR,120,21307312,21315895,0.537,21659488,11631145,32947040,53.8,46.2
Central African Republic,CAF,140,6008253,5991174,0.108,4619500,498906,6490080,39.8,60.2
Chad,TCD,148,21141068,21132550,0.064,12715465,813790,21946340,22.3,77.7
Comoros,COM,174,1081250,572823,0.693,733661,508427,1081250,28.2,71.8
Congo,COG,178,4509798,5006476,0.416,4286188,1783054,6789530,65,35
Cote d'Ivoire,CIV,384,20353570,20367606,0.558,21102641,11775274,32142880,53.5,46.5
Congo (Democratic Republic of the),COD,180,109270347,108776320,0.164,70291160,11527750,120304070,42,58
Djibouti,DJI,262,819337,599304,0.533,853069,454366,1053670,77.3,22.7
Equatorial Guinea,GNQ,226,746835,727369,0.66,773729,510661,1238030,39.8,60.2
Eritrea,ERI,232,7305364,5545699,0.361,4892233,1764961,7310660,22.2,77.8
Ethiopia,ETH,231,113754552,113808544,0.266,92191211,24488346,138296890,19,81
Gabon,GAB,266,1572932,880004,0.893,1613489,1440846,2320850,86.9,13.1
Gambia,GMB,270,2221604,2480933,0.345,1807108,623937,3104870,59,41
Ghana,GHA,288,20489119,20500508,0.641,25544565,16364502,36865010,53.4,46.6
Guinea,GIN,324,15210588,15229223,0.262,11628767,3046737,18275960,36.7,63.3
Guinea-Bissau,GNB,624,1857464,1501385,0.606,1714620,1039175,2540560,48.6,51.5
Kenya,KEN,404,50044773,55627015,0.23,42542978,9784885,65411900,25.2,74.8
Lesotho,LSO,426,1851347,2062990,0.206,2057331,423040,2486030,26.8,73.2
Liberia,LBR,430,5622918,6003575,0.098,4190155,410635,6414210,49.3,50.7
Madagascar,MDG,450,30306158,32527047,0.154,22293720,3433233,35960280,34.5,65.5
Malawi,MWI,454,24189415,25045137,0.098,15700436,1538643,26583780,16.1,83.9
Mali,MLI,466,23223755,23245203,0.256,16112333,4124757,27369960,39.1,60.9
Mauritania,MRT,478,4831834,4844504,0.218,3777067,821986,5666490,59.3,40.7
Mozambique,MOZ,508,35920218,36238459,0.202,25732928,5198051,41436510,31.9,68.1
Namibia,NAM,516,2126311,2189130,0.473,2291645,1083090,3272220,45.7,54.3
Niger,NER,562,32599432,33426597,0.144,17635782,2539553,35966150,18.5,81.5
Nigeria,NGA,566,169437857,169057446,0.556,168240403,93541664,262599110,46.9,53.1
Rwanda,RWA,646,13701499,13837477,0.18,10817350,1947123,15784600,27.8,72.2
Sao Tome and Principe,STP,678,256220,148304,0.605,178484,107916,256220,64.5,35.5
Senegal,SEN,686,15056248,15015879,0.565,13780108,7785761,22801640,43.4,56.6
Seychelles,SYC,690,101100,6576,1,94524,94524,101100,53.6,46.4
Sierra Leone,SLE,694,7749371,7739462,0.142,6043157,858128,8597590,39.6,60.4
Somalia,SOM,706,15474778,13211285,0.327,10033630,3281795,16493080,39.1,60.9
South Africa,ZAF,710,14720532,14911358,0.854,52837274,45123032,60034390,64.3,35.7
South Sudan,SSD,728,17766537,17253890,0.051,10980623,555900,17809790,18.6,81.4
Sudan,SDN,729,44199506,44162861,0.326,37712420,12280129,56442990,33.6,66.4
Swaziland,SWZ,748,1240977,989379,0.42,1231694,517311,1506690,21.3,78.7
Tanzania,TZA,834,75293676,75484377,0.153,48645709,7442793,82927170,30.9,69.1
Togo,TGO,768,8731712,8367048,0.315,6745581,2122332,10489380,39.5,60.5
Uganda,UGA,800,53162676,55499511,0.182,35400620,6429659,61929170,15.8,84.2
Zambia,ZMB,894,21122221,22050242,0.221,14786581,3262298,25312540,40.5,59.5
Zimbabwe,ZWE,716,15501609,15459923,0.405,14565482,5893567,21353490,32.5,67.5
